,0
bot_csdiffat15_team2,float64
jng_csdiffat15_team2,float64
mid_csdiffat15_team2,float64
sup_csdiffat15_team2,float64
top_csdiffat15_team2,float64
bot_cspm_team2,float64
jng_cspm_team2,float64
mid_cspm_team2,float64
sup_cspm_team2,float64
top_cspm_team2,float64
bot_damagemitigatedperminute_team2,float64
jng_damagemitigatedperminute_team2,float64
mid_damagemitigatedperminute_team2,float64
sup_damagemitigatedperminute_team2,float64
top_damagemitigatedperminute_team2,float64
bot_damageshare_team2,float64
jng_damageshare_team2,float64
mid_damageshare_team2,float64
sup_damageshare_team2,float64
top_damageshare_team2,float64
bot_damagetakenperminute_team2,float64
jng_damagetakenperminute_team2,float64
mid_damagetakenperminute_team2,float64
sup_damagetakenperminute_team2,float64
top_damagetakenperminute_team2,float64
bot_damagetochampions_team2,float64
jng_damagetochampions_team2,float64
mid_damagetochampions_team2,float64
sup_damagetochampions_team2,float64
top_damagetochampions_team2,float64
bot_deaths_team2,float64
jng_deaths_team2,float64
mid_deaths_team2,float64
sup_deaths_team2,float64
top_deaths_team2,float64
bot_deathsat10_team2,float64
jng_deathsat10_team2,float64
mid_deathsat10_team2,float64
sup_deathsat10_team2,float64
top_deathsat10_team2,float64
bot_deathsat15_team2,float64
jng_deathsat15_team2,float64
mid_deathsat15_team2,float64
sup_deathsat15_team2,float64
top_deathsat15_team2,float64
bot_doublekills_team2,float64
jng_doublekills_team2,float64
mid_doublekills_team2,float64
sup_doublekills_team2,float64
top_doublekills_team2,float64
bot_dpm_team2,float64
jng_dpm_team2,float64
mid_dpm_team2,float64
sup_dpm_team2,float64
top_dpm_team2,float64
bot_earned gpm_team2,float64
jng_earned gpm_team2,float64
mid_earned gpm_team2,float64
sup_earned gpm_team2,float64
top_earned gpm_team2,float64
bot_earnedgold_team2,float64
jng_earnedgold_team2,float64
mid_earnedgold_team2,float64
sup_earnedgold_team2,float64
top_earnedgold_team2,float64
bot_earnedgoldshare_team2,float64
jng_earnedgoldshare_team2,float64
mid_earnedgoldshare_team2,float64
sup_earnedgoldshare_team2,float64
top_earnedgoldshare_team2,float64
bot_firstbloodassist_team2,float64
jng_firstbloodassist_team2,float64
mid_firstbloodassist_team2,float64
sup_firstbloodassist_team2,float64
top_firstbloodassist_team2,float64
bot_firstbloodkill_team2,float64
jng_firstbloodkill_team2,float64
mid_firstbloodkill_team2,float64
sup_firstbloodkill_team2,float64
top_firstbloodkill_team2,float64
bot_firstbloodvictim_team2,float64
jng_firstbloodvictim_team2,float64
mid_firstbloodvictim_team2,float64
sup_firstbloodvictim_team2,float64
top_firstbloodvictim_team2,float64
bot_game_team2,float64
jng_game_team2,float64
mid_game_team2,float64
sup_game_team2,float64
top_game_team2,float64
bot_goldat10_team2,float64
jng_goldat10_team2,float64
mid_goldat10_team2,float64
sup_goldat10_team2,float64
top_goldat10_team2,float64
bot_goldat15_team2,float64
jng_goldat15_team2,float64
mid_goldat15_team2,float64
sup_goldat15_team2,float64
top_goldat15_team2,float64
bot_golddiffat10_team2,float64
jng_golddiffat10_team2,float64
mid_golddiffat10_team2,float64
sup_golddiffat10_team2,float64
top_golddiffat10_team2,float64
bot_golddiffat15_team2,float64
jng_golddiffat15_team2,float64
mid_golddiffat15_team2,float64
sup_golddiffat15_team2,float64
top_golddiffat15_team2,float64
bot_goldspent_team2,float64
jng_goldspent_team2,float64
mid_goldspent_team2,float64
sup_goldspent_team2,float64
top_goldspent_team2,float64
bot_inhibitors_team2,float64
jng_inhibitors_team2,float64
mid_inhibitors_team2,float64
sup_inhibitors_team2,float64
top_inhibitors_team2,float64
bot_kills_team2,float64
jng_kills_team2,float64
mid_kills_team2,float64
sup_kills_team2,float64
top_kills_team2,float64
bot_killsat10_team2,float64
jng_killsat10_team2,float64
mid_killsat10_team2,float64
sup_killsat10_team2,float64
top_killsat10_team2,float64
bot_killsat15_team2,float64
jng_killsat15_team2,float64
mid_killsat15_team2,float64
sup_killsat15_team2,float64
top_killsat15_team2,float64
bot_minionkills_team2,float64
jng_minionkills_team2,float64
mid_minionkills_team2,float64
sup_minionkills_team2,float64
top_minionkills_team2,float64
bot_monsterkills_team2,float64
jng_monsterkills_team2,float64
mid_monsterkills_team2,float64
sup_monsterkills_team2,float64
top_monsterkills_team2,float64
bot_opp_assistsat10_team2,float64
jng_opp_assistsat10_team2,float64
mid_opp_assistsat10_team2,float64
sup_opp_assistsat10_team2,float64
top_opp_assistsat10_team2,float64
bot_opp_assistsat15_team2,float64
jng_opp_assistsat15_team2,float64
mid_opp_assistsat15_team2,float64
sup_opp_assistsat15_team2,float64
top_opp_assistsat15_team2,float64
bot_opp_barons_team2,float64
jng_opp_barons_team2,float64
mid_opp_barons_team2,float64
sup_opp_barons_team2,float64
top_opp_barons_team2,float64
bot_opp_csat10_team2,float64
jng_opp_csat10_team2,float64
mid_opp_csat10_team2,float64
sup_opp_csat10_team2,float64
top_opp_csat10_team2,float64
bot_opp_csat15_team2,float64
jng_opp_csat15_team2,float64
mid_opp_csat15_team2,float64
sup_opp_csat15_team2,float64
top_opp_csat15_team2,float64
bot_opp_deathsat10_team2,float64
jng_opp_deathsat10_team2,float64
mid_opp_deathsat10_team2,float64
sup_opp_deathsat10_team2,float64
top_opp_deathsat10_team2,float64
bot_opp_deathsat15_team2,float64
jng_opp_deathsat15_team2,float64
mid_opp_deathsat15_team2,float64
sup_opp_deathsat15_team2,float64
top_opp_deathsat15_team2,float64
bot_opp_goldat10_team2,float64
jng_opp_goldat10_team2,float64
mid_opp_goldat10_team2,float64
sup_opp_goldat10_team2,float64
top_opp_goldat10_team2,float64
bot_opp_goldat15_team2,float64
jng_opp_goldat15_team2,float64
mid_opp_goldat15_team2,float64
sup_opp_goldat15_team2,float64
top_opp_goldat15_team2,float64
bot_opp_inhibitors_team2,float64
jng_opp_inhibitors_team2,float64
mid_opp_inhibitors_team2,float64
sup_opp_inhibitors_team2,float64
top_opp_inhibitors_team2,float64
bot_opp_killsat10_team2,float64
jng_opp_killsat10_team2,float64
mid_opp_killsat10_team2,float64
sup_opp_killsat10_team2,float64
top_opp_killsat10_team2,float64
bot_opp_killsat15_team2,float64
jng_opp_killsat15_team2,float64
mid_opp_killsat15_team2,float64
sup_opp_killsat15_team2,float64
top_opp_killsat15_team2,float64
bot_opp_xpat10_team2,float64
jng_opp_xpat10_team2,float64
mid_opp_xpat10_team2,float64
sup_opp_xpat10_team2,float64
top_opp_xpat10_team2,float64
bot_opp_xpat15_team2,float64
jng_opp_xpat15_team2,float64
mid_opp_xpat15_team2,float64
sup_opp_xpat15_team2,float64
top_opp_xpat15_team2,float64
bot_patch_team2,float64
jng_patch_team2,float64
mid_patch_team2,float64
sup_patch_team2,float64
top_patch_team2,float64
bot_playername_team2,object
jng_playername_team2,object
mid_playername_team2,object
sup_playername_team2,object
top_playername_team2,object
bot_playoffs_team2,float64
jng_playoffs_team2,float64
mid_playoffs_team2,float64
sup_playoffs_team2,float64
top_playoffs_team2,float64
bot_total cs_team2,float64
jng_total cs_team2,float64
mid_total cs_team2,float64
sup_total cs_team2,float64
top_total cs_team2,float64
bot_totalgold_team2,float64
jng_totalgold_team2,float64
mid_totalgold_team2,float64
sup_totalgold_team2,float64
top_totalgold_team2,float64
bot_triplekills_team2,float64
jng_triplekills_team2,float64
mid_triplekills_team2,float64
sup_triplekills_team2,float64
top_triplekills_team2,float64
bot_visionscore_team2,float64
jng_visionscore_team2,float64
mid_visionscore_team2,float64
sup_visionscore_team2,float64
top_visionscore_team2,float64
bot_vspm_team2,float64
jng_vspm_team2,float64
mid_vspm_team2,float64
sup_vspm_team2,float64
top_vspm_team2,float64
bot_wardskilled_team2,float64
jng_wardskilled_team2,float64
mid_wardskilled_team2,float64
sup_wardskilled_team2,float64
top_wardskilled_team2,float64
bot_wardsplaced_team2,float64
jng_wardsplaced_team2,float64
mid_wardsplaced_team2,float64
sup_wardsplaced_team2,float64
top_wardsplaced_team2,float64
bot_wcpm_team2,float64
jng_wcpm_team2,float64
mid_wcpm_team2,float64
sup_wcpm_team2,float64
top_wcpm_team2,float64
bot_wpm_team2,float64
jng_wpm_team2,float64
mid_wpm_team2,float64
sup_wpm_team2,float64
top_wpm_team2,float64
bot_xpat10_team2,float64
jng_xpat10_team2,float64
mid_xpat10_team2,float64
sup_xpat10_team2,float64
top_xpat10_team2,float64
bot_xpat15_team2,float64
jng_xpat15_team2,float64
mid_xpat15_team2,float64
sup_xpat15_team2,float64
top_xpat15_team2,float64
bot_xpdiffat10_team2,float64
jng_xpdiffat10_team2,float64
mid_xpdiffat10_team2,float64
sup_xpdiffat10_team2,float64
top_xpdiffat10_team2,float64
bot_xpdiffat15_team2,float64
jng_xpdiffat15_team2,float64
mid_xpdiffat15_team2,float64
sup_xpdiffat15_team2,float64
top_xpdiffat15_team2,float64
